"id","code","name","name_cn","parent_id","enabled","dest"
1,"01","Generalities. Terminology. Standardization. Documentation","综合 术语学 标准化","",1,
2,"03","Services. Company organization, management and quality. Administration. Transport. Sociology","社会学 服务 公司","",1,
3,"07","Natural and applied sciences","数学、自然科学","",1,
4,"11","Health care technology","医药卫生技术","",1,
5,"13","Environment. Health protection. Safety","环保、保健与安全","",1,
6,"17","Metrology and measurement. Physical phenomena","计量学和测量、物理","",1,
7,"19","Testing","试验","",1,
8,"21","Mechanical systems and components for general use","机械系统和通用件","",1,
9,"23","Fluid systems and components for general use","流体系统和通用件","",1,
10,"25","Manufacturing engineering","机械制造","",1,
11,"27","Energy and heat transfer engineering","能源和热传导工程","",1,
12,"29","Electrical engineering","电气工程","",1,
13,"31","Electronics","电子学","",1,
14,"33","Telecommunications. Audio and video engineering","电信、音频和视频技术","",1,
15,"35","Information technology","信息技术、办公机械","",1,
16,"37","Image technology","成像技术","",1,
17,"39","Precision mechanics. Jewellery","精密机械、珠宝","",1,
18,"43","Road vehicles engineering","道路车辆工程","",1,
19,"45","Railway engineering","铁路工程","",1,
20,"47","Shipbuilding and marine structures","造船和海上建筑物","",1,
21,"49","Aircraft and space vehicle engineering","航空器和航天器工程","",1,
22,"53","Materials handling equipment","材料储运设备","",1,
23,"55","Packaging and distribution of goods","货物的包装和调运","",1,
24,"59","Textile and leather technology","纺织和皮革技术","",1,
25,"61","Clothing industry","服装工业","",1,
26,"65","Agriculture","农业","",1,
27,"67","Food technology","食品技术","",1,
28,"71","Chemical technology","化工技术","",1,
29,"73","Mining and minerals","采矿和矿产品","",1,
30,"75","Petroleum and related technologies","石油及相关技术","",1,
31,"77","Metallurgy","冶金","",1,
32,"79","Wood technology","木材技术","",1,
33,"81","Glass and ceramics industries","玻璃和陶瓷工业","",1,
34,"83","Rubber and plastic industries","橡胶和塑料工业","",1,
35,"85","Paper technology","造纸技术","",1,
36,"87","Paint and colour industries","涂料和颜料工业","",1,
37,"91","Construction materials and building","建筑材料和建筑物","",1,
38,"93","Civil engineering","土木工程","",1,
39,"95","Military affairs. Military engineering. Weapons","军事工程","",1,
40,"97","Domestic and commercial equipment. Entertainment. Sports","家用和商用设备、文娱","",1,
41,"01.020","Terminology (principles and coordination)","术语学(原则和协调配合)",1,1,"Including terminography"
42,"01.040","Vocabularies","词汇",1,1,
43,"01.060","Quantities and units","量和单位",1,1,
44,"01.070","Colour coding","颜色编码",1,1,"Safety colours in the context of graphical symbols, see 01.080.10"
45,"01.075","Character symbols","字符符号",1,1,
46,"01.080","Graphical symbols","图形符号",1,1,
47,"01.100","Technical drawings","技术制图",1,1,"Graphical symbols for use on technical drawings, see 01.080.30 
Computer-aided design, see 35.240.10"
48,"01.110","Technical product documentation","技术产品文件",1,1,"Including rules for preparation of user guides, manuals, product specifications, etc."
49,"01.120","Standardization. General rules","标准化总则",1,1,"Including rules for the preparation of standards catalogues and management of technical documents"
50,"01.140","Information sciences. Publishing","信息学、出版",1,1,"Information technology applications in information, documentation and publishing, see 35.240.30"
53,"01.040.01","Generalities. Terminology. Standardization. Documentation (Vocabularies)","综合、术语学、标准化、文献 (词汇)",42,1,
54,"01.040.03","Services. Company organization, management and quality. Administration. Transport. Sociology. (Vocabularies)","社会学、服务、公司(企业)的组织与管理、行政、运输 (词汇)",42,1,
55,"01.040.07","Natural and applied sciences (Vocabularies)","数学、自然科学 (词汇)",42,1,
56,"01.040.11","Health care technology (Vocabularies)","医药卫生技术 (词汇)",42,1,
57,"01.040.13","Environment. Health protection. Safety (Vocabularies)","环保、保健与安全 (词汇)",42,1,
58,"01.040.17","Metrology and measurement. Physical phenomena (Vocabularies)","计量学和测量、物理现象 (词汇)",42,1,
59,"01.040.19","Testing (Vocabularies)","试验(词汇)",42,1,
60,"01.040.21","Mechanical systems and components for general use (Vocabularies)","机械系统和通用件 (词汇)",42,1,
61,"01.040.23","Fluid systems and components for general use (Vocabularies)","流体系统和通用件 (词汇)",42,1,
62,"01.040.25","Manufacturing engineering (Vocabularies)","机械制造 (词汇)",42,1,
63,"01.040.27","Energy and heat transfer engineering (Vocabularies)","能源和热传导工程 (词汇)",42,1,
64,"01.040.29","Electrical engineering (Vocabularies)","电气工程 (词汇)",42,1,
65,"01.040.31","Electronics (Vocabularies)","电子学 (词汇)",42,1,
66,"01.040.33","Telecommunications. Audio and video engineering (Vocabularies)","电信、音频和视频技术 (词汇)",42,1,
67,"01.040.35","Information technology (Vocabularies)","信息技术、办公机械设备 (词汇)",42,1,
68,"01.040.37","Image technology (Vocabularies)","成像技术 (词汇)",42,1,
69,"01.040.39","Precision mechanics. Jewellery (Vocabularies)","精密机械、珠宝 (词汇)",42,1,
70,"01.040.43","Road vehicle engineering (Vocabularies)","道路车辆工程 (词汇)",42,1,
71,"01.040.45","Railway engineering (Vocabularies)","铁路工程 (词汇)",42,1,
72,"01.040.47","Shipbuilding and marine structures (Vocabularies)","造船和海上建筑物 (词汇)",42,1,
73,"01.040.49","Aircraft and space vehicle engineering (Vocabularies)","航空器和航天器技术 (词汇)",42,1,
74,"01.040.53","Materials handling equipment (Vocabularies)","材料储运设备 (词汇)",42,1,
75,"01.040.55","Packaging and distribution of goods (Vocabularies)","货物的包装和调运 (词汇)",42,1,
76,"01.040.59","Textile and leather technology (Vocabularies)","纺织和皮革技术 (词汇)",42,1,
77,"01.040.61","Clothing industry (Vocabularies)","服装工业 (词汇)",42,1,
78,"01.040.65","Agriculture (Vocabularies)","农业 (词汇)",42,1,
79,"01.040.67","Food technology (Vocabularies)","食品技术 (词汇)",42,1,
80,"01.040.71","Chemical technology (Vocabularies)","化工技术 (词汇)",42,1,
81,"01.040.73","Mining and minerals (Vocabularies)","采矿和矿产品 (词汇)",42,1,
82,"01.040.75","Petroleum and related technologies (Vocabularies)","石油及有关技术 (词汇)",42,1,
83,"01.040.77","Metallurgy (Vocabularies)","冶金 (词汇)",42,1,
84,"01.040.79","Wood technology (Vocabularies)","木材加工(词汇)",42,1,
85,"01.040.81","Glass and ceramics industries (Vocabularies)","玻璃和陶瓷工业 (词汇)",42,1,
86,"01.040.83","Rubber and plastics industries (Vocabularies)","橡胶和塑料工业 (词汇)",42,1,
87,"01.040.85","Paper technology (Vocabularies)","造纸技术 (词汇)",42,1,
88,"01.040.87","Paint and colour industries (Vocabularies)","涂料和颜料工业 (词汇)",42,1,
89,"01.040.91","Construction materials and building (Vocabularies)","建筑材料和建筑物 (词汇)",42,1,
90,"01.040.93","Civil engineering (Vocabularies)","土木工程 (词汇)",42,1,
91,"01.040.95","Military Affairs. Military engineering. Weapons (Vocabularies)","军事工程 (词汇)",42,1,
92,"01.040.97","Domestic and commercial equipment. Entertainment. Sports (Vocabularies)","家用和商用设备、体育、文娱 (词汇)",42,1,
97,"01.080.01","Graphical symbols in general","图形符号综合",46,1,
98,"01.080.10","Public information symbols. Signs. Plates. Labels ","公共信息符号",46,1,"Including safety signs, safety colours, etc."
99,"01.080.20","Graphical symbols for use on specific equipment","专用设备用图形符号",46,1,
100,"01.080.30","Graphical symbols for use on mechanical engineering and construction drawings, diagrams, plans, maps and in relevant technical product documentation","机械工程和建筑制图、图表、设计图、地图和相关的技术产品文件用图形符号",46,1,
101,"01.080.40","Graphical symbols for use on electrical and electronics engineering drawings, diagrams, charts and in relevant technical product documentation","电气工程和电子工程制图、示意图、图表和相关技术产品文件用图形符号",46,1,
102,"01.080.50","Graphical symbols for use on information technology and telecommunications technical drawings and in relevant technical product documentation","信息技术和电信技术制图与相关技术产品文件用图形符号",46,1,
103,"01.080.99","Other graphical symbols","其他图形符号",46,1,
105,"01.100.01","Technical drawings in general","技术制图综合",47,1,
106,"01.100.20","Mechanical engineering drawings","机械工程制图",47,1,
107,"01.100.25","Electrical and electronics engineering drawings","电气和电子工程制图",47,1,"Including electrical tables, diagrams and charts"
108,"01.100.27","Technical drawings for telecommunications and information technology fields","信息技术和电信领域用技术制图",47,1,
109,"01.100.30","Construction drawings","工程建设制图",47,1,"Including civil engineering drawings"
110,"01.100.40","Drawing equipment","制图设备",47,1,
111,"01.100.99","Other standards related to technical drawings","其他制图标准",47,1,
115,"01.140.10","Writing and transliteration","文字字体与文字转写",50,1,"Coded character sets for bibliographic information interchange, see 35.040.10"
116,"01.140.20","Information sciences","信息学",50,1,"Including documentation, librarianship and archive systems"
117,"01.140.30","Documents in administration, commerce and industry","行政管理、商业和工业文件",50,1,"Technical product documentation, see 01.110 
Banking documents, see 03.060 
Electronic data interchange (EDI), see 35.240.60"
118,"01.140.40","Publishing","出版",50,1,"Electronic publishing, see 35.240.30"
119,"03.020","Sociology. Demography","社会学、人口统计学",2,1,
120,"03.040","Labour. Employment","劳动、就业",2,1,"Working environment, see 13.180 
Working environment, see 13.040.30"
121,"03.060","Finances. Banking. Monetary systems. Insurance","金融、银行、货币体系、保险",2,1,"Including personal financial planning 
Information technology applications in banking, see 35.240.40"
122,"03.080","Services","服务",2,1,"Transport, see 03.220 
Postal services, see 03.240"
123,"03.100","Company organization and management. Management systems","公司(企业)的组织与管理",2,1,
124,"03.120","Quality","质量",2,1,
125,"03.140","Patents. Intellectual property","专利、知识产权",2,1,
126,"03.160","Law. Administration","法律、行政管理",2,1,"Including flags and associated symbols (emblems) of political and administrative entities, military flags, flags of organizations, etc."
127,"03.180","Education","教育",2,1,"E-learning, see 35.240.99"
128,"03.200","Leisure. Tourism","娱乐、旅游",2,1,"Camping equipment, see 97.200.30"
129,"03.220","Transport","运输",2,1,"Transport of dangerous goods, see 13.300"
130,"03.240","Postal services","邮政服务",2,1,"Including postal equipment, post-boxes and letter-boxes, etc."
135,"03.080.01","Services in general","服务综合",122,1,
136,"03.080.10","Maintenance services. Facilities management","工业服务",122,1,"Including cleaning and pest control 
Sterilization and desinfection in health care, see 11.080"
137,"03.080.20","Services for companies","公司(企业)的服务",122,1,"Including publicity, advertising, professional services, recruitment services, management consultancy, outsourcing, etc. 
Outsourcing as part of a company organization, see 03.100.01 
Staff training and staff certification, see 03.100.30"
138,"03.080.30","Services for consumers","消费者服务",122,1,"Including hotels, restaurants, washing, cleaning, removals, funerals, real estate, vehicle repair and servicing, furniture removals, services for elderly, sheltered housing services for elderly, sheltered housing, etc. 
Services for dementia care, assisted living, see 11.020.10 
Transport services and costs, see 03.220 
Consumer information, see 97.020"
