"id","code","num","digits","name","name_cn","is_complementary","is_funds_code","is_bond_market_unit","enabled","dest"
208,"AED","784","2","United Arab Emirates dirham","阿联酋迪拉姆",0,0,0,1,
209,"AFN","971","2","Afghan afghani","阿富汗尼",0,0,0,1,
210,"ALL","008","2","Albanian lek","阿尔巴尼亚列克",0,0,0,1,
211,"AMD","051","2","Armenian dram","亚美尼亚德拉姆",0,0,0,1,
212,"ANG","532","2","Netherlands Antillean guilder","荷属安的列斯盾",0,0,0,1,
213,"AOA","973","2","Angolan kwanza","安哥拉宽扎",0,0,0,1,
214,"ARS","032","2","Argentine peso","阿根廷比索",0,0,0,1,
215,"AUD","036","2","Australian dollar","澳洲元",0,0,0,1,
216,"AWG","533","2","Aruban florin","阿鲁巴弗罗林",0,0,0,1,
217,"AZN","944","2","Azerbaijani manat","阿塞拜疆马纳特",0,0,0,1,
218,"BAM","977","2","Bosnia and Herzegovina convertible mark","波斯尼亚和黑塞哥维那可兑换马克",0,0,0,1,
219,"BBD","052","2","Barbados dollar","巴巴多斯元",0,0,0,1,
220,"BDT","050","2","Bangladeshi taka","孟加拉塔卡",0,0,0,1,
221,"BGN","975","2","Bulgarian lev","保加利亚列弗",0,0,0,1,
222,"BHD","048","3","Bahraini dinar","巴林第纳尔",0,0,0,1,
223,"BIF","108","0","Burundian franc","布隆迪法郎",0,0,0,1,
224,"BMD","060","2","Bermudian dollar","百慕大元",0,0,0,1,
225,"BND","096","2","Brunei dollar","汶莱元",0,0,0,1,
226,"BOB","068","2","Boliviano","玻利维亚诺",0,0,0,1,
228,"BRL","986","2","Brazilian real","巴西雷亚尔",0,0,0,1,
229,"BSD","044","2","Bahamian dollar","巴哈马元",0,0,0,1,
230,"BTN","064","2","Bhutanese ngultrum","不丹努尔特鲁姆",0,0,0,1,
231,"BWP","072","2","Botswana pula","博茨瓦纳普拉",0,0,0,1,
232,"BYN","933","2","Belarusian ruble","白俄罗斯卢布",0,0,0,1,
233,"BZD","084","2","Belize dollar","伯利兹元",0,0,0,1,
234,"CAD","124","2","Canadian dollar","加拿大元",0,0,0,1,
235,"CDF","976","2","Congolese franc","刚果法郎",0,0,0,1,
237,"CHF","756","2","Swiss franc","瑞士法郎",0,0,0,1,
240,"CLP","152","0","Chilean peso","智利比索",0,0,0,1,
241,"CNY","156","2","Renminbi (Chinese) yuan","人民币",0,0,0,1,
